날짜,사건,추가 정보,기간
1953/08/19,1953년 이란 쿠데타,"모하마드 모사데그(Mohammad Mossadegh, 1882년 ~ 1967년 3월 5일)는 이란의 정치가이자 민족주의 지도자로 석유 국유화와 근대화 등을 단행했다. 그러나 1953년 8월 미국 CIA는 영국 정보부의 도움으로 모사데그 타격대를 조직했고, 미국과 영국의 사주를 받은 파즐롤라 자헤디 장군의 친 팔레비 쿠데타로 실각되어 체포당해 금고 3년형을 선고받았다.",0
1953/10/01,한미상호방위조약,"1953년 10월 1일 한미상호방위조약이 워싱턴에서 조인됐다. 한국측에서는 변태영 외무장관이, 미국측에서는 덜레스 미국 국무장관이 서명했다. 조약은 1953년 휴전 성립을 전후해 이승만 대통령이 미국에 북한의 재침략에 대비한 한미군사동맹의 체결을 촉구한데서 비롯됐다. 휴전직전인 1953년 6월 로버트 미국 대통령 특사의 내한으로 조약에 대한 외교적 절충이 시작됐고 8월 내한한 덜레스 미국무장관과의 일련의 회담에서 결실을 보게됐다. 8월 8일 변태영 외무장관과 덜레스 미 국무장관이 서울에서 가조인한 한미상호방위조약은 이날 워싱턴에서 정식으로 조인됐고, 1954년 1월 18일 발효됐다. 한미상호방위조약으로 미국은 육해공군을 한국영토와 그 부근에 배치, 한국에 대한 외부로부터의 무력공격을 공동으로 방위하게 됐다.",0
1955/11/01,베트남 전쟁,"베트남 전쟁은 1955년 11월 1일에 베트남, 라오스, 캄보디아에서 시작된 전쟁이다. 1975년 4월 30일 사이공이 공산군에 의해 함락됨으로서 종전되었다. 제2차 인도차이나 전쟁이라고도 한다. 대한민국군 32만명이 파병하여 5천명이 전사하고 31만명이 생존 귀환하였다.",1955/11/01 ~ 1975/04/30
1956/10/29,제2차 중동전쟁(수에즈운하 전쟁),"제2차 중동전쟁,수에즈운하 전쟁,시나이전쟁. 결과적으로 이 전쟁으로 영국과 프랑스는 중동지역에서의 기득권을 상실하게 되었고, 대신 미국과 소련이 대체 열강 세력으로 등장하게 되었다.",1956/10/29 ~ 1956/11/07
1957/10/04,"소련,스푸트니크1호 발사","소련, 사상 최초의 인공위성 스푸트니크1호 발사. 무게 82.2kg, 직경 57cm에 4개의 안테나를 단 세계최초의 인공위성 스푸트니크호(러시아말로 길동무)가 이날 발사되었다. 스푸트니크1호가 고도 8백80km의 지구 궤도를 96.2분마다 한바퀴씩 회전하므로써 우주시대의 서막이 열리게 되었고 우주경쟁의 1단계에서 소련이 우위임을 입증해주었다.",0
1958,"중국,대약진 운동",대약진 운동(Great Leap Forward)은 공산 혁명 후 중화인민공화국에서 근대적인 공산주의 사회를 만드는 것을 목적으로 1958년부터 1961년말-1962년초 까지 마오쩌둥의 주도로 시작된 농공업의 대증산 정책이다.,1958 ~ 1962
1959,중국 대기근,"중국 대기근은 1959년부터 1961년까지 중화인민공화국(PRC)에서 발생한 기근이었다. 일부 학자들은 1958년이나 1962년도 포함시켰다. 이는 인류 역사상 가장 치명적인 기근이자 인간이 만든 가장 큰 재난 중 하나로 널리 알려져 있으며, 기아로 인한 사망자 수는 수천만 명(1,500만 ~ 5,500만 명)에 이른다.",1959 ~ 1961
1960/04/19,4·19혁명,"4·19 혁명(四一九革命)은 1960년 4월 대한민국에서 이승만의 자유당 정권이 저지른 부정선거에 항의하는 학생을 중심으로 시작한 시위가 이루어낸 혁명이다. 이승만 대통령은 하야했으며 부통령 당선자 이기붕의 일가족은 동반자살하였다. 일본의 민중운동인 안보투쟁에도 영향을 준 혁명이다. 4·19 민주혁명 혹은 4·19 학생운동, 4월 혁명, 미완의 혁명으로도 일컫는다.",0
1961/01/20,케네디 미국대통령,"존 피츠제럴드 '잭' 케네디(John Fitzgerald 'Jack' Kennedy)는 미국의 제 35대 대통령이자, 미국 대통령 중에서 유일한 로마 가톨릭 교회 신자라는 점과 상류사회에서 잉글랜드계에 밀리던 아일랜드계 혈통 때문에 기독교 근본주의자들의 반발과 논쟁을 불러온 인물이다. 그는 1961년부터 1963년에 암살당하기까지 겨우 2년 동안 대통령직에 있었지만 미국의 자유주의에 대한 상징으로 기억되고 있다. 케네디는 1946년부터 1960년까지 미 의회에 있었으며, 1960년에 대통령에 당선되었다. 케네디는 대통령직에 고작 2년밖에 있지 않았지만, 그의 임기 동안에 피그스 만 침공, 쿠바 미사일 위기, 베를린 장벽, 우주 경쟁, 베트남 전쟁 간접 개입, 미국 민권 운동 등 많은 일이 일어났었다. 서투른 명문가 도련님이라는 우려도 받았으나 역사가들은 케네디를 링컨, 루즈벨트, 워싱턴 등과 어깨를 나란히 하는 미국 역사상 가장 위대한 대통령 중 하나로 여기고 있다.",1961/01/20 ~ 1963/11/22
1961/05/16,5.16 군사정변,"5·16 군사정변은 1961년 5월 16일 새벽 3시, 제2군사령부 부사령관이던 소장 박정희를 비롯한 육군사관학교(이하 육사) 출신 일부 장교들이 사회의 혼란을 명분으로 제6군단 포병대, 해병대, 제1공수특전단 등을 동원해 제2공화국을 무너뜨리고 정권을 장악한 군사정변이다.",0
1962/10/20,인도-중국 국경분쟁,중인국경분쟁(中印國境紛爭)은 중국과 인도 양국의 국경을 놓고 생긴 분쟁이다. 1962년 10월 20일부터 11월 21일까지 군사적 충돌이 발생했다.,1962/10/20 ~ 1962/11/21
1962/10/16,쿠바 미사일 위기,"쿠바 미사일 위기는 1962년 10월 14일, 미국측의 첩보기 록히드 U-2에 의해 쿠바에서 건설중이던 소련 미사일 기지의 사진과, 건설현장으로 부품을 운반하던 선박의 사진이 촬영되면서 시작된 미국과 구 소련과의 대립을 뜻한다.",1962/10/16 ~ 1962/10/28
1963,"이란, 백색 혁명","백색 혁명은 1953년 미국의 지원으로 민족주의자 모사데그를 축출하고 복귀한 팔레비 국왕이 친미노선을 견지하며 추진한 개혁이다. 1963년부터 토지개혁·여성참정권 부여 등의 근대화 작업에 착수했으나 왕권 안정을 위한 국방비 증액과 인플레이션, 생필품 부족 등에 대한 국민의 불만, 전통적인 이슬람·민족주의 세력의 저항을 불러와, 후일 이란 혁명의 기초가 되었다.",0
1963/11/22,존슨 미국대통령,"린든 베인스 존슨(Lyndon Baines Johnson, 1908년 8월 27일 ~ 1973년 1월 22일)은 미국의 제 36대 대통령이다. 그의 별명은 LBJ로 알려졌다.",1963/11/22 ~ 1969/01/20
1964/08/02,통킹 만 사건,"미국은 통킹 만 사건을 명분으로 베트남에 대해 공개적으로 군사 개입을 강화하게 된다. 8월 7일, 미 의회는 사실상 선전포고인 '통킹 만 결의'를 의결하였으며, 1965년 2월부터는 B-52 폭격기를 동원한 북폭에 나섰고, 지상군도 파견되었다.",0
1964/10/16,"중국,원자폭탄 개발","중국,원자폭탄 개발.",0
1965/06/22,한일국교정상화,"가깝고도 먼 나라 일본은 예로부터 한국과 폭넓게 교류해 왔으며, 강제침략과 해방 후에도 오랫동안 불편한 관계를 유지하였다. 1965년 6월 22일 기본조약, 어업협정, 경제협력협정, 재일한국인의 법적 지위협정, 문화협정 등 5개협정이 이루어지면서 국교가 정상화되었다.",0
1966/05/16,중국 문화대혁명,이 운동은 1966년 5월 16일 중국 공산당의 총서기인 마오쩌둥의 제창으로 시작되었다. 그는 부르주아 계급의 자본주의 요소가 공산당을 지배하고 있으니 이를 제거해야 한다고 주장하였다. 또한 중국의 젊은이들이 사상과 행동을 규합해 '혁명 후의 계급 투쟁'을 통해 이런 것들을 제거되어야 한다고 하였다. 이는 중국 전역에서 벌어진 홍위병의 움직임으로 구체화되었다.,1966/05/16 ~ 1976/09/09
1968/01,미국체제 위기,『장기 20세기』에서 조반니 아리기(Giovanni Arrighi)는 1968년과 1973년 사이 세 개의 영역에서 미국체제의 위기 발생을 말했다.,1968/01 ~ 1973/12
1968/01/05,프라하의 봄,"프라하의 봄은 제2차 세계 대전 이후 소비에트 연방이 간섭하던 체코슬로바키아에서 일어난 민주화 시기를 일컫는다. 이 시기는 1968년 1월 5일에 슬로바키아의 개혁주의자 알렉산데르 둡체크가 집권하면서 시작되었으며, 8월 21일 소비에트 연방과 바르샤바 조약 회원국의 동맹국이 체코슬로바키아를 침공하여 개혁을 중단시키면서 막을 내렸다.",1968/01/05 ~ 1968/08/21
1968/04/01,포항제철 창립,"한국의 제선, 제강 및 압연재 생산 및 판매업체. 1968년 4월 포항종합제철(주)로 설립한 뒤 2000년 9월 정부 지분을 매각하여 민영화되었으며, 2002년 3월 지금의 상호로 변경하였다.",0
1968/05,프랑스 5월 혁명,"5월 혁명(五月 革命) 또는 68 혁명, 또는 프랑스 5월 혁명은 프랑스 드골 정부의 실정과 사회의 모순으로 인한 저항운동과 총파업투쟁을 뜻한다. 당시 대부분의 운동가들은 좌파였지만, 현재 좌파 정치단체나 노동조합은 이 운동과 거리가 있다. 이 혁명은 교육체계와 사회문화라는 측면에서 '구시대'를 뒤바꿀 수 있는 기회로 보았다. 즉,68혁명 또는 5월혁명은 현재 가치와 질서에 저항한 사건이라고 이해할 수 있다.",0
1968/07/13,홍콩 독감,홍콩 독감(香港毒感)은 1968년에 처음으로 발병한 홍콩발 인플루엔자이다. 같은 해에 확산되어 1969년까지 계속되었다. 75만 ~ 100만 명이 사망.,1968/07/13 ~ 1969/12
1969/01/20,닉슨 미국대통령,"리처드 밀하우스 닉슨(Richard Milhous Nixon, 1913년 1월 9일 ~ 1994년 4월 22일)은 미국의 제37대 대통령이다.",1969/01/20 ~ 1974/08/09
1969/03/02,중소 국경분쟁,"1969년 3월 2일, 우수리 강의 전바오 섬(珍寶島, 러시아 명: 다만스키 섬)에서 중국과 소련 사이에 군사 충돌이 발생했다. 군사 충돌은 같은 해 9월까지 계속됐다. 이는 영토 문제 뿐만 아니라 스탈린 사후 심화되었던 중·소의 대립을 드러내는 사건이기도 했다.",0
1969/07/21,아폴로11호 달착륙,1969년 7월 20일 미국의 아폴로 11호가 인류 역사상 최초로 달착륙에 성공하였다. 전에 쏘아올렸던 로켓의 경우 달 주위를 돌며 실험하는 정도였으나 아폴로 11호의 암스트롱과 올드린 두 우주비행사는 달 표면 '고요의 바다'에 인간의 첫발을 내디뎠다.,0
1970/07/07,경부고속도로 개통,"번영의 대동맥이며 민족 중흥의 이정표인 경부고속도로가 1970년 7월 7일 개통됐다. 총길이 428km에 걸쳐 4차선 아스팔트가 깔리면서, 서울∼부산 천리길이 4시간 거리로 줄어들었다. 이로써 우리나라도 고속도로시대에 진입했다. 기업들은 운송기간이 단축될 것이라 좋아했고, 농어민들은 생필품을 값싸게 살수 있다고 반겼다. 박정희 대통령이 고속도로 건설을 지시한 것이 1967년 11월. 1968년 2월 착공 이후 2년 5개월만에 완공된 초스피드 건설이었다. 당시 공사비가 총 4백29억원으로 1km당 1억원이 소요된 절약형 건설이기도 했다.",0
1971/08/15,"닉슨, 달러-금 태환 정지 선언","닉슨, 달러-금 태환 정지 선언. 금융적으로, 미국 연방준비제도는 브레턴우즈에서 수립된 세계화폐의 생산 및 조절 양식을 유지하기가 어렵고 나아가 그 유지가 불가능함을 깨닫게 되었다.",0
1972/02/21,"미국-중국,정상회담","미국의 닉슨과 중국의 마오쩌둥[毛澤東]의 정상회담은 양국의 관계정상화를 위해 대화한 것으로, 주변 아시아 정세에 큰 영향을 끼쳤다.",0
1972/07/04,7.4 남북공동성명,"남북한의 긴장완화를 위한 7·4 남북공동성명이 1972년 7월 4일 서울과 평양에서 동시 발표됐다. 미국과 중국의 국교정상화를 계기로 종래의 대미의존적인 안보정책에서 탈피하고자 북한과의 관계개선을 모색한 결과였다. 성명이 나오기까지 서울의 이후락 중앙정보부장과 평양의 김영주 조직지도부장이 각기 상대방을 방문(서울방문시에는 박성철 제2부수상이 대신 방문)해 회담을 진행했다. 그 내용은 1. 외세에 의존하거나 외세의 간섭을 받지 않는 자주적 해결 2. 돌발적 군사사고 방지, 상호간의 신속한 업무처리를 위한 서울과 평양간의 상설 직통전화 가설 3. 남북적십자회담에 대한 적극 협조 4.상대방에 대한 중상비방, 무장도발 포기 5. 남북간 다방면의 교류 6. 남북조절위원회 구성 등이다.",0
1972/09/29,중일국교 수립,"일본 수상, 다나카 중국 방문하고 중일국교 수립.",0
1972/10/17,10월 유신,"1972년 10월 17일 박정희 대통령이 《대통령 특별선언》을 발표했다. 이른바 《10월 유신》을 선포한 것이다. 이후 전국에 비상계엄을 선포, 국회해산, 정당 및 정치활동 중지, 비상국무회의 설치 등의 비상조치를 취하였다.",0
1973/10/06,1차 석유 파동,1차 석유 파동(~1974).,1973/10/06 ~ 1974/03
1974/08/09,포드 미국대통령,"제럴드 루돌프 포드 주니어(Gerald Rudolph Ford, Jr. 1913년 7월 14일 ~ 2006년 12월 26일)는 미국의 제38대 대통령이다. 그는 선거에 의해 대통령이나 부통령으로 선출된 적이 없이 대통령직을 수행한 유일한 대통령이다. 1973년 스피로 애그뉴가 부통령을 사임함에 따라 리처드 닉슨에 의해 지명되었고 미국 하원에 의해 승인되었다. 그리고 리처드 닉슨이 1974년 8월 9일 사임함에 따라서 대통령직을 승계하였으며, 밀러드 필모어, 앤드루 존슨, 체스터 A. 아서에 이어 4번째로 선거를 통하지 않고 승계한 대통령이 되었다.",1974/08/09 ~ 1977/01/20
1976/01,킹스턴 체제,1976년 1월 자메이카 킹스턴에서 개최된 IMF 잠정위원회에서 타결된 국제통화제도로 각 국이 환율제도를 자유롭게 선택할 수 있도록 한 체제.,0
1977/01/20,카터 미국대통령,"제임스 얼 '지미' 카터 2세(James Earl 'Jimmy' Carter, Junior.)는 민주당 출신 미국 제39대 대통령(1977년 ~ 1981년)이다.",1977/01/20 ~ 1981/01/20
1978/12/18,중국 개혁개방 시작,중국 개혁개방 역사의 시작이라 할 수 있는 제11기 3중전회가 22일까지 5일간 베이징에서 개최됐다.,0
1979,2차 석유 파동,2차 석유 파동(~1980).,1979 ~ 1980/12/31
1979/01/01,미·중 국교 정상화,1979년 1월 1일 미국과 중국 간에 정식으로 국교가 수립됐다.,0
1979/01/17,이란 이슬람 혁명,이란 이슬람 혁명(Islamic Revolution) 또는 이란 혁명(Iranian Revolution of 1979)은 1979년 이란에서 발생한 혁명으로 입헌 군주제인 팔라비 왕조가 무너지고 이슬람 종교 지도자가 최고 권력을 가지는 정치체제로 변화되는 결과를 낳은 사건이다(사실상 신정 체제). 호메이니가 집권하게 되었다.,0
1979/06/29,박정희-카터 정상회담,"두 사람의 관계는 1979년 6월 29일에 성사된 한미 정상회담을 계기로 더욱 악화되었는데, 도쿄에서 선진 7개국 경제정상회담을 마치고 방한한 카터 대통령은 방한 이후 영빈관에 머물러 달라는 박 대통령의 성의를 무시하고 주한 미군 내에 숙소를 정하는 등 노골적으로 박 대통령과 대립각을 세웠다. 이에 박 대통령은 정상회담에서 45분간 주한미군이 한국의 방위뿐 아니라 동아시아와 자유세계의 방어를 위해서 얼마나 중요한 것인가 하는 점을 카터 대통령에게 일방적으로 ‘강의’했다. 결국 이로 인해 카터 행정부는 주한 미군의 감축 규모를 3000명가량 감축하는 선에서 마무리지었다. 박동진 전 외무부 장관은 박 대통령이 카터 대통령의 방한 기간 동안 심한 스트레스를 받았다고 회고했다.",0
1979/10/26,10.26 사건,"10·26 사건(궁정동 사태)은 1979년 10월 26일, 대한민국의 중앙정보부 부장이던 김재규가 박선호, 박흥주 등과 당시 대통령 박정희를 살해한 사건이다.",0
1979/12/12,12.12 사태,"12·12 사태(- 事態)는 1979년 12월 12일, 전두환과 노태우 등을 중심으로 한 신군부 세력이 최규하 대통령의 승인 없이 계엄사령관인 정승화 육군 참모총장, 정병주 특수전사령부 사령관, 장태완 수도방위사령부 사령관 등을 불법적으로 체포·연행한 사건이다.",0
1979/12/27,"소련,아프가니스탄 침공",소비에트 연방의 아프가니스탄 침공 또는 소비에트 연방-아프가니스탄 전쟁은 소비에트 연방 측과 반소비에트 측이 아프가니스탄의 공산주의 혁명 정부를 두고 10년간 벌인 전쟁이다.,1979/12/27 ~ 1989/02/15
1980/01/01,1980년대 자본주의의 승리,"미국 정부와 사적인 글로벌 대형 금융 공동체와의 동맹은 장미빛 예상을 넘어서는 최고의 수익을 가져왔다. 구매력을 미국 수중에 재집중시키자, 미국 군사력만으로는 달성할 수 없을 것을 거의 즉각적으로 달성해 냈다. 미국의 긴축 화폐 정책, 높은 실질 이자율, 그리고 탈규제가 제3세계 국가들에 파괴적 효과를 미치자, 이들 국가들은 신속히 무릎을 꿇었다. 자본이 다시 희소해지자, 소련 블록 전체가 갑자기 경쟁의 찬바람이 불어닥침을 느끼게 되었다. 아프가니스탄에 발목잡히고, 미국과의 새로운 군비경쟁 고조에 도전을 받자, 경화된 소련 국가구조는 무너지기 시작했다.",1980/01/01 ~ 1989/12/31
1980/05/18,5.18 광주민주화운동,"5·18 광주 민주화 운동(五·一八光州民主化運動) 또는 광주민중항쟁(光州民衆抗爭)은 1980년 5월 18일부터 27일까지 광주 시민과 전라남도민이 중심이 돼, 조속한 민주주의 정부 수립∙ 12·12 군사 반란과 5·17 쿠데타를 주도한 전두환 보안사령관과 신군부 세력의 퇴진 및 계엄령 철폐 등을 요구하며 전개한 민주화 운동이다.",0
1980/09/22,이란·이라크 전쟁,이란-이라크 전쟁은 1980년 9월 22일 사담 후세인이 이란을 침공하면서 발생하였다. 군사행동의 주 목표는 샤트알아랍 강의 획득 및 이란의 혁명적 정권의 타도였다. 이라크는 선전포고없이 공격했지만 그들은 전쟁을 진척시키지 못하고 이란에게 격퇴당한다. UN 안보리의 휴전명령에도 불구하고 이라크는 1988년 8월 20일까지 백만여명의 희생자를 내며 전쟁을 계속한다. 2003년에 마지막 포로가 교환되었다. 전쟁은 지역 및 국제 정세에 영향을 주었다.,1980/09/22 ~ 1988/08/20
1981/01/20,레이건 미국대통령,로널드 윌슨 레이건(Ronald Wilson Reagan)은 미국의 제 40대 (1981년 ~ 1989년) 대통령과 33대 캘리포니아 주지사를 지낸 정치인이다.,1981/01/20 ~ 1989/01/20
1981/03/03,전두환 정부,"1979년 10월 26일 박정희 대통령이 서거한 이후 헌법에 따라 국무총리 최규하가 대통령의 권한을 대행하였으나 곧 전두환, 노태우를 중심으로 하는 신군부 세력이 12·12 쿠데타로 실권을 장악했다. 1980년 5월 신군부 세력은 집권 시나리오에 따라 비상계엄 전국확대 조치를 내리고, 5·18 민주화운동을 진압한 뒤 국가보위비상대책위원회를 설치해 정권을 장악했다. 1980년 9월 1일 통일주체국민회의를 주체로 실시된 간선에 따라 전두환이 제11대 대통령에 당선되었다. 10월 27일에는 임기 7년의 단임제 대통령제 등을 골자로 하는 제5공화국 헌법이 제정됐으며, 1981년 3월 3일 제5공화국의 대통령으로서는 첫 임기를 시작하여 제12대 대통령으로 전두환이 취임함으로써 5공 정권이 시작되었다.",1981/03/03 ~ 1988/02/25
1981/08/12,IBM PC 등장,"IBM PC(IBM 5150) 1981년 16 비트 IBM PC가 등장하고 세계적인 베스트셀러가되어, IBM PC에서 사용되는 인텔의 x86 계열의 CPU와 마이크로 소프트의 MS-DOS가 주류(사실상 표준)로 되었다. 또한 컴팩 등으로 구성된 IBM PC 호환기종 시장이 형성되고, '개인용 컴퓨터'의 명칭이 일반화되었다. 스프레드시트는 Lotus 1-2-3, 워드 프로세서는 워드퍼팩트(일본에서는 이치타로)가 보급되었다.",0
1985/04,"소련, 페레스트로이카",1985년 4월에 선언된 소련의 사회주의 개혁 이데올로기.,0
1985/09/13,"사우디, 석유 대규모 증산",1991~94년 러시아 총리 대행을 지낸 예고르 가이다르는 2006년 11월 13일의 한 연설에서 '소련 붕괴의 시작은 야마니 사우디 석유장관이 석유 증산을 발표한 1985년 9월 13일로 거슬러 올라간다. 이 날을 기점으로 사우디는 유가 지지를 포기했고 (중략) 6개월간 생산량을 4배 늘렸으며 (중략) 소련은 연간 200억 달러의 손실을 입으면서 더 이상 지탱할 수 없게 됐다'고 말한 바 있습니다.,0
1985/09/22,플라자 합의,"플라자 합의(Plaza Agreement 또는 Plaza Accord)란 1985년 9월 22일 미국 뉴욕에 있는 플라자 호텔에서 G5 경제선진국 재무장관, 중앙은행총재들의 모임에서 발표된 환율에 관한 합의를 가리킨다.",0
1986/04/26,체르노빌 원전사고,소련 우크라이나의 체르노빌원자력발전소에서 폭발이 일어나 방사성 물질이 퍼져 여러 나라를 오염시켰다.,0
1987/06/29,"6월 민주항쟁, 6·29선언","6월 항쟁은 1987년 6월 10일부터 6월 29일까지 대한민국에서 전국적으로 벌어진 반독재, 민주화 운동이다.",0
1987/10/19,블랙 먼데이,"1987년 10월 19일(월요일) 뉴욕증권시장에서 일어났던 주가 대폭락 사건. 다우존스 지수가 그날 하루 동안 폭으로는 508포인트, 비율로는 전일 대비 22.6%가 폭락하였다.",0
1988/02/25,노태우 정부,"노태우 정부(盧泰愚政府, 1987년 ~ 1993년)는 6월 항쟁의 결과로 성립된 제6공화국의 첫 번째 정부이다. 제5공화국과 비교하기 위해 이 기간만을 제6공화국으로 칭하기도 한다.",1988/02/25 ~ 1993/02/25
1989/01/20,조지 H.W. 부시 미국대통령,"연방 하원의원, 주 국제연합 대사, CIA 국장 등 여러 공직을 거친 후 1980년 대통령 선거에서 로널드 레이건의 러닝메이트로 출마, 1981년 ~ 1989년 제43대 부통령을 지낸 데 이어, 1989년 ~ 1993년 제41대 대통령으로 재직했다. 2001년부터 2009년 1월 20일 까지 제43대 대통령으로 재직했던 조지 W. 부시의 부친이기도 하다.",1989/01/20 ~ 1993/01/20
1989/03/09,동유럽 혁명,"동유럽 혁명(東歐州革命)은 1989년에 소비에트 연방의 외번이나 별로 다름없었던 동유럽(동구권) 에서, 공산당 정부가 연속적으로 쓰러진 혁명이다. 1989년 혁명이라고도 한다.",1989/03/09 ~ 1992/04/27
1989/06/04,천안문 사건,"천안문 사건(天安門事件)은 1989년 6월 4일, 후야오방의 사망을 계기로 톈안먼 광장에 모인 학생과 시민들의 민주화 시위를 중국 정부가 무력으로 진압한 사건이다.",0
1989/11/09,베를린 장벽 붕괴,"베를린 장벽은 동독이 건설한 것으로서 서베를린을 동베를린과 그 밖의 동독으로부터 분리하는 장벽이었다. 그래서 서베를린을 공산주의 국가안의 유일한 자본주의 지역이라고 해서 '육지의 섬'이라고 불렀다. 냉전의 상징이자 독일의 분단을 상징하여 왔다. 동독 탈주자가 많아지자 이를 막으려고 1961년 8월 13일에 만들어진 이후 점차 이 장벽은 보강되었으며, 1989년 11월 9일 자유 왕래가 허용된 이후 차례로 장벽이 붕괴되었다. 일부는 기념으로 남겨져 있다.",0
1990/08/02,걸프 전쟁,"걸프 전쟁은 사담 후세인이 통치하던 이라크가 쿠웨이트는 과거 이라크의 영토였다며 침략하자, 미국, 영국, 프랑스, 사우디아라비아, 소련 등 30여개 나라가 국제 연합의 결의와 미국의 주도 하에 다국적군을 결성해 쿠웨이트를 지원함으로써 벌어진 전쟁이다.",1990/08/02 ~ 1991/02/28
1990/09/30,소련과 국교 수립,1990년 9월 30일 이루어진 한국과 소련의 국교수립.,0
1990/10/03,독일 통일,독일의 재통일(Deutsche Wiedervereinigung)은 1990년 10월 3일에 독일 민주 공화국(‘동독’)이 독일 연방 공화국(‘서독’)으로 흡수되면서 이루어졌다.,0
1991/12/26,소련의 붕괴,소련은 공식적으로 1991년 12월 25일에 붕괴되었다. 이후 소련의 공화국 15개가 독립하였다. 세계 최초의 사회주의 국가이자 가장 큰 공산주의 국가이며 냉전에서 공산진영의 대표 국가인 소련의 붕괴로 결국 냉전이 끝나게 된다.,0
1992/02/07,"마스트리흐트 조약, EU 결성",유럽의 정치통합과 경제 및 통화 통합을 위한 유럽통합조약.,0
1992/08/24,중국과 국교수립,"1992년 8월 적성국가였던 중국과 수교가 이루어졌다. 한중수교에 따라 북경노선이 개설되고, 한국의 경제적 번영이 교포들에게 알려지면서 많은 교포들의 고국방문이 이어졌다.",0
1993/01/20,클린턴 미국대통령,미국의 1993년부터 2001년까지 재임한 제42대 대통령이다. 경제호황 시대의 행복한 행운아 대통령인 동시에 능숙하고 매력적인 악동 대통령이기도 하다.,1993/01/20 ~ 2001/01/20
1993/02/25,김영삼 정부,1993년 2월 25일 문민정부는 3당 합당으로 출범한 민주자유당의 제14대 대통령 선거에서 승리한 김영삼의 대통령 취임과 함께 출범했다. 김영삼 정부는 군부 출신의 대통령이 아닌 민간인의 최초의 정부라는 의미로 문민정부로 불리게 되었다.,1993/02/25 ~ 1998/02/25
1993/03/27,장쩌민 중국 주석,"1993년 3월 중국의 최고실권자 덩샤오핑의 마지막 공직이었던 국가중앙군사위원회 주석에 선출됨으로써 당과 정부의 전권을 완전히 장악하였고, 1997년 덩샤오핑이 사망하자 최고 권력자가 되었다.",1993/03/27 ~ 2003/03/15
1993/04/22,웹 브라우저 Mosaic,"인터넷의 상업적 이용이 허용되고, 인터넷을 보다 편리하게 사용할 수 있는 브라우저로서 1993년 모자이크(Mosaic)가 출시되면서 사용자가 폭발적으로 증가하였다.",0
1994/07/08,김일성 사망,"김일성(金日成, 1912년 4월 15일 ~ 1994년 7월 8일)은 조선민주주의인민공화국의 독립운동가, 군인, 정치인이다. 만주 조선공산주의청년동맹, 조선혁명군, 반일인민유격대(그 후 조선인민혁명군으로 개편) 등을 조직했다. 해방 후 조선공산당과 북조선로동당의 지도자로 활동하였고, 남북로동당 통합 이후 조선로동당의 위원장이 되었다. 1948년 9월부터 1972년 12월까지는 조선민주주의인민공화국의 내각 국무총리를 지냈고 1972년 12월 15일부터 1994년 7월 8일까지 조선민주주의인민공화국의 제3대·4대 국가원수를 역임하였다.",0
1995/01/01,세계무역기구(WTO) 출범,GATT 체제를 대신하여 세계무역 질서를 세우고 우루과이라운드(UR)협정의 이행을 감시하는 국제기구이다.,0
1995/04,역 플라자 합의,"미국과 일본은 95년 8월 그때까지 지속돼 온 「엔고 - 달러저」를 「달러고 - 엔저」로 전환하기로 비밀리에 합의했다. 이 합의를 85년 9월, 달러약세에 합의했던 플라자협정에 빗대 '역(逆) 플라자협정'이라고 부른다.",0
1997/07/01,홍콩 반환,홍콩 반환은 영국이 1997년 7월 1일에 자국의 식민지인 홍콩을 중화인민공화국에게 반환한 일이다.,0
1997/07,아시아 금융 위기,"아시아 금융 위기( - 金融危機)는 1997년 태국의 고정환율제 포기로 인해 시작된 동남아의 통화 위기로 인해 동북아시아 국가들의 경제에도 타격을 주었고, 결과적으로 세계 경제에 불안을 가져온 일련의 금융위기사태를 말한다.",1997/07 ~ 1998/12
1997/12/03,"한국, IMF 구제금융",IMF 구제금융사건은 1997년 12월 3일 대한민국이 외환위기를 겪으며 국제통화기금에 자금지원 양해각서를 체결한 사건이다.,0
1998/02/25,김대중 정부,"국민의 정부(國民의政府, 1998년~2003년)는 제6공화국의 세 번째 정부인 김대중 정부의 다른 이름이다. 국민의 정부는 새정치국민회의와 자유민주연합이 단일 후보로 내세운 김대중이 제15대 대통령 선거에 승리함으로써 사상 최초의 여야 정권 교체를 이루어내며, 1998년 2월 25일 취임과 함께 출범했다. 2003년에 임기가 만료되었다.",1998/02/25 ~ 2003/02/25
1998/08/17,1998년 러시아 금융 위기,러시아 금융 위기는 1998년 8월 17일 러시아를 강타했다. 이로 인해 러시아 정부와 러시아 중앙은행은 루블화를 평가절하하고 부채를 상환하지 못하게 되었다. 이 위기는 많은 이웃 국가들의 경제에 심각한 영향을 끼쳤다.,0
1999/01/01,유로화 도입,유럽 11개국이 단일통화를 사용하게 됨으로써 유로화는 달러 및 엔화에 이어 세번째로 큰 통화가 되어 유럽공동체가 가장 큰 경제블록 중 하나로 성장하는 계기가 되었다.,0
2000/06/13,2000년 남북정상회담,2000년 남북 정상 회담은 대한민국 김대중 전 대통령과 조선민주주의인민공화국 김정일 국방위원회 위원장이 평양에서 2000년 6월 13일에서 6월 15일까지 진행한 회담이다. 회담 결과로 6·15 남북 공동선언이 발표됐다.,0
